교차로코드,입력일자,교차로명칭,유형코드,연동교차로코드,구코드 (공통);,지번,구경찰서 (공통);,신경찰서 (공통);,작업구분 (공통);,표출구분 (공통);,고객번호,계약종별,계량기번호,도로구분 (공통);,관할사업소 (공통);,교차로관리번호,공간데이터,신규정규화ID,이력ID,동코드 (공통);,공사형태 (공통);,지도표출구분,X좌표,Y좌표,위도,경도
1272,,가야쇼핑,1,0.0,620.0,970-1대,290.0,290.0,1,2,,,,1.0,105.0,82-0000000607,,2182142.0,607,10200.0,,N,193751.584774728,542982.285630846,37.48626700801753,126.9293498503519
1273,,가야쇼핑(연등),2,1272.0,620.0,692-8학,290.0,290.0,1,2,,,,1.0,105.0,82-0000001473,,2182072.0,1473,10200.0,,N,193701.605874929,543126.245858652,37.48756376109031,126.9287835134864
1274,,관악노인복지관,2,0.0,620.0,342-57도,290.0,290.0,1,2,,,,1.0,105.0,82-0000004044,,2173781.0,4044,10100.0,,N,193527.695390209,543675.150972386,37.49250823242114,126.926812268894
1275,,동산교회,1,0.0,620.0,1641-24대,290.0,290.0,1,2,,,,2.0,105.0,82-0000000608,,2180181.0,608,10200.0,,N,193762.4249002,542184.431599433,37.47907835187193,126.929479175124
1276,,신림초교,2,0.0,620.0,1642-8도,290.0,290.0,1,2,,,,2.0,105.0,82-0000001474,,2170991.0,1474,10200.0,,N,193638.57703105,542218.310255125,37.47938275746858,126.9280786833725
1277,,신림초교(연등),1,1276.0,620.0,1642-7천,290.0,290.0,1,2,,,,2.0,105.0,82-0000002937,,2170891.0,2937,10200.0,,N,193581.141893769,542205.255723334,37.4792647379729,126.9274294443432
1309,,금천경찰서(연등)1,1,1310.0,620.0,543도,290.0,290.0,1,1,,,,1.0,105.0,82-0000001560,,,1560,10200.0,,N,192240.108329436,542444.534805926,37.48141037695385,126.912265433325
1310,,제이타워웨딩,2,0.0,620.0,1722 대,260.0,260.0,1,2,,,,1.0,105.0,82-0000002051,,2141732.0,2051,10200.0,,N,192059.105385909,542404.442564012,37.48104760538078,126.9102194198067
1311,,금천수요양병원,1,0.0,620.0,569-48대,260.0,260.0,1,2,,,,1.0,105.0,82-0000001000,,2141113.0,1000,10200.0,,N,191742.298026064,542332.171875245,37.48039366476929,126.9066383772962
1312,,구로전화국(연등),1,630.0,620.0,1656대,290.0,290.0,1,2,,,,1.0,105.0,82-0000002879,,2130491.0,2879,10200.0,,N,191384.37382,542249.381599863,37.47964445100644,126.9025926578424
1314,,구로디지털단지역,3,0.0,620.0,1122도,,260.0,1,2,,,,1.0,105.0,82-0000000380,,,380,10200.0,,N,191401.992138988,542787.315517103,37.4844914403531,126.9027855690914
1315,,독산고개,1,0.0,540.0,146-12대,,260.0,1,2,,,,1.0,105.0,82-0000004238,,,4238,10200.0,,N,191030.574537904,541820.420994281,37.47577611579129,126.8985978693038
1316,,새움병원,1,1315.0,540.0,996-10도,260.0,260.0,1,2,,,,1.0,105.0,82-0000003954,,2029662.0,3954,10200.0,,N,191015.318747224,541596.081664184,37.47375465107626,126.8984281336137
1317,,군부대앞,1,0.0,540.0,1056-4대,260.0,260.0,1,2,,,,1.0,105.0,82-0000002880,,2026682.0,2880,10200.0,,N,190987.052361209,540168.173623818,37.46088878609787,126.8981260420894
1319,,유통상가정문,1,0.0,540.0,1001-9도,,260.0,1,2,,,,1.0,105.0,82-0000001261,,,1261,10300.0,,N,191484.846151738,538269.774881225,37.44378869950441,126.9037745458249
1321,,박미삼거리(연등)1,1,266.0,540.0,1000-92도,,260.0,1,2,,,,1.0,105.0,82-0000004614,,,4614,10300.0,,N,191452.764708251,538658.021758821,37.44728655928785,126.9034075129797
1264,,충무교,1,0.0,620.0,839-4도,290.0,290.0,1,2,,,,2.0,105.0,82-0000000219,,2099272.0,219,10200.0,,N,194298.356938004,541637.540155145,37.47415427105352,126.9355425482629
1322,,유통상가정문(연등),1,1319.0,540.0,1001-11도,,260.0,1,2,,,,1.0,105.0,82-0000003095,,,3095,10300.0,,N,191470.568615531,538140.476481714,37.44262357196724,126.9036146971967
1323,,SK주유소,1,667.0,540.0,1001-34도,,260.0,1,2,,,,1.0,105.0,82-0000000527,,,527,10300.0,,N,191419.367129512,537563.61480962,37.43742549429603,126.90304281094
1324,,석수역,1,0.0,540.0,962-8대,260.0,260.0,1,2,,,,1.0,105.0,82-0000004752,,2031432.0,4752,10300.0,,N,191416.8521527,537409.373973825,37.43603573868187,126.9030161862213
1325,,백산초교,1,0.0,540.0,896-11대,260.0,260.0,1,2,,,,1.0,105.0,82-0000002360,,2034712.0,2360,10300.0,,N,191573.348348359,538845.66932093,37.44897839369384,126.9047680863552
1326,,백산초교(연등),1,1325.0,540.0,837-44대,260.0,260.0,1,2,,,,1.0,105.0,82-0000000381,,2034932.0,381,10300.0,,N,191654.276297548,538945.825836333,37.44988154995157,126.9056815412882
1327,,대우당약국,3,0.0,540.0,1000-118도,,260.0,1,2,,,,1.0,105.0,82-0000001561,,,1561,10300.0,,N,191675.051918948,539051.325799164,37.45083230494237,126.9059151443228
1328,,은행나무사거리,3,0.0,540.0,1000-99도,,260.0,1,2,,,,1.0,105.0,82-0000000382,,,382,10300.0,,Y,191682.657529497,539208.202239021,37.45224584938524,126.9059993306672
1329,,은행나무사거리(연등),1,1328.0,540.0,1000-101도,,260.0,1,2,,,,1.0,105.0,82-0000002049,,,2049,10300.0,,N,191768.785578766,539161.468928824,37.45182554672918,126.9069732501317
1330,,관악농협,1,0.0,540.0,1000-123구,,260.0,1,2,,,,1.0,105.0,82-0000002361,,,2361,10300.0,,N,192011.430219457,539037.622891593,37.45071180522394,126.9097168860459
1318,,문일중고,2,0.0,540.0,1000-92도,,260.0,1,2,,,,1.0,105.0,82-0000002881,,,2881,10300.0,,N,191315.693622168,539113.914373996,37.45139293282013,126.9018531054306
1331,,범일운수(연등)1,3,5350.0,540.0,218-9대,260.0,260.0,1,2,,,,1.0,105.0,82-0000003955,,2044954.0,3955,10300.0,,N,192167.309891449,539007.663945301,37.45044320396251,126.9114788820126
1332,,동일여고,1,0.0,540.0,266-2363대,,260.0,1,2,,,,1.0,105.0,82-0000004582,,,4582,10300.0,,N,192405.533793708,538964.666196127,37.45005777460821,126.9141716083808
1333,,벽산6단지입구,3,0.0,540.0,1010-18도,,260.0,1,2,,,,1.0,105.0,82-0000002198,,,2198,10300.0,,N,192739.901735683,538936.575861925,37.44980736088734,126.9179507198721
1334,,도성교회,1,0.0,540.0,1010-18도,,260.0,1,2,,,,1.0,105.0,82-0000004463,,,4463,10300.0,,N,192889.901149145,538955.85651925,37.44998224679654,126.9196457359979
1335,,관악벽산타운1단지,2,0.0,540.0,산100-1임,260.0,260.0,1,2,,,,1.0,105.0,82-0000001313,,2064692.0,1313,10300.0,,N,192992.267310529,539228.894626661,37.45244313576581,126.9208000249688
1336,,난곡사,1,0.0,620.0,산93-8 도,290.0,290.0,1,2,,,,1.0,105.0,82-0000002362,,2066832.0,2362,10200.0,,N,193118.592447928,539926.486462536,37.45872947062915,126.9222212161458
