시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자,제공기관코드,제공기관명,반경500m_사고지점수,반경500m_사고건수합계
어린이집,하늘빛,서울특별시 도봉구 도봉로167길 13,,37.677656,127.0440422,도봉구청,도봉경찰서,Y,1,8~10,2019-09-05,3090000,서울특별시 도봉구,3,15
어린이집,방아골,서울특별시 도봉구 시루봉로17길42,,37.6692804,127.032581,도봉구청,도봉경찰서,Y,1,6,2019-09-05,3090000,서울특별시 도봉구,3,12
어린이집,한내,서울특별시 도봉구 마들로13길 252,,37.6614988112,127.045084329,도봉구청,도봉경찰서,Y,1,8,2019-09-05,3090000,서울특별시 도봉구,6,24
어린이집,햇살마루,서울특별시 도봉구 도봉로 134길,,37.6575017,127.0408123,도봉구청,도봉경찰서,Y,1,6,2019-09-05,3090000,서울특별시 도봉구,9,42
어린이집,이화,서울특별시 도봉구 도봉로 134길,,37.6573827,127.0404858,도봉구청,도봉경찰서,Y,1,6,2019-09-05,3090000,서울특별시 도봉구,9,42
어린이집,신세인,서울특별시 도봉구 도봉로134길 5,,37.6575153,127.0405866,도봉구청,도봉경찰서,Y,1,6,2019-09-05,3090000,서울특별시 도봉구,9,42
어린이집,창2동,서울특별시 도봉구 도봉로134길 6,,37.6573644,127.0404264,도봉구청,도봉경찰서,Y,1,6,2019-09-05,3090000,서울특별시 도봉구,9,42
초등학교,신방학초교,서울특별시 도봉구 시루봉로 173,,37.6659578,127.0292294,도봉구청,도봉경찰서,Y,3,15,2019-09-05,3090000,서울특별시 도봉구,3,12
초등학교,신화,서울특별시 도봉구 우이천로 120,,37.6326698,127.0408596,도봉구청,도봉경찰서,Y,4,6~15,2019-09-05,3090000,서울특별시 도봉구,3,15
특수학교,정민학교,서울특별시 노원구 공릉로58길 24,서울특별시 노원구 하계동 78-14,37.633839,127.0731686,서울특별시 노원구청,서울노원경찰서,Y,1,7~15,2024-07-22,3100000,서울특별시 노원구,3,12
초등학교,중계초등학교,서울특별시 노원구 한글비석로19길 39,서울특별시 노원구 중계4동 447-2,37.65784108,127.0733117,서울특별시 노원구청,서울노원경찰서,Y,5,5~11,2024-07-22,3100000,서울특별시 노원구,30,132
초등학교,상계초등학교,서울특별시 노원구 상계로9길 39,서울특별시 노원구 상계2동 402-1,37.65962546,127.0664937,서울특별시 노원구청,서울노원경찰서,Y,3,8.5~30,2024-07-22,3100000,서울특별시 노원구,21,105
초등학교,공연초등학교,서울특별시 노원구 동일로192가길 16,서울특별시 노원구 공릉1동 371,37.62754924,127.0745082,서울특별시 노원구청,서울노원경찰서,Y,5,4~21,2024-07-22,3100000,서울특별시 노원구,3,18
초등학교,불암초등학교,서울특별시 노원구 중계로 178,서울특별시 노원구 중계본동 257-3,37.65078343,127.080671,서울특별시 노원구청,서울노원경찰서,Y,2,8~20,2024-07-22,3100000,서울특별시 노원구,9,33
초등학교,을지초등학교,서울특별시 노원구 중계로 239,서울특별시 노원구 중계1동 산 72,37.65059011,127.0730898,서울특별시 노원구청,서울노원경찰서,Y,2,20~30,2024-07-22,3100000,서울특별시 노원구,30,132
초등학교,신상계초등학교,서울특별시 노원구 상계로 267,서울특별시 노원구 상계4동 111,37.66751782,127.0758263,서울특별시 노원구청,서울노원경찰서,Y,2,"7,30",2024-07-22,3100000,서울특별시 노원구,12,54
초등학교,연촌초등학교,서울특별시 노원구 공릉로58길 36,서울특별시 노원구 하계1동 152,37.634416,127.0725121,서울특별시 노원구청,서울노원경찰서,Y,3,7~15,2024-07-22,3100000,서울특별시 노원구,3,12
초등학교,중현초등학교,서울특별시 노원구 섬밭로 181,서울특별시 노원구 하계2동 340,37.63251336,127.065953,서울특별시 노원구청,서울노원경찰서,Y,1,7.5~19.5,2024-07-22,3100000,서울특별시 노원구,6,24
초등학교,한천초등학교,서울특별시 노원구 마들로 45,서울특별시 노원구 월계3동 3-7,37.62070855,127.0692456,서울특별시 노원구청,서울노원경찰서,Y,2,19.2~25,2024-07-22,3100000,서울특별시 노원구,3,12
초등학교,용동초등학교,서울특별시 노원구 한글비석로1길 81-11,서울특별시 노원구 중계3동 510-7,37.64108534,127.0690832,서울특별시 노원구청,서울노원경찰서,Y,2,7~20,2024-07-22,3100000,서울특별시 노원구,6,18
초등학교,상수초등학교,서울특별시 노원구 동일로216길 66,서울특별시 노원구 상계7동 755,37.65110673,127.064735,서울특별시 노원구청,서울노원경찰서,Y,2,20,2024-07-22,3100000,서울특별시 노원구,15,72
초등학교,동일초등학교,서울특별시 노원구 한글비석로 566,서울특별시 노원구 상계8동 887-7,37.6648142,127.0541716,서울특별시 노원구청,서울노원경찰서,Y,1,20,2024-07-22,3100000,서울특별시 노원구,3,18
초등학교,상경초등학교,서울특별시 노원구 수락산로 237,서울특별시 노원구 상계8동 621,37.67055277,127.0516731,서울특별시 노원구청,서울노원경찰서,Y,1,9.7~22,2024-07-22,3100000,서울특별시 노원구,3,15
특수학교,동천학교,서울특별시 노원구 노원로18길 41,서울특별시 노원구 하계1동 288-1,37.64451398,127.0729253,서울특별시 노원구청,서울노원경찰서,Y,2,20,2024-07-22,3100000,서울특별시 노원구,6,21
유치원,강덕초병설유치원,서울특별시 강동구 동남로82길 94-54,서울특별시 강동구 고덕2동 222,37.55954748,127.1604836,서울특별시 강동구청,강동경찰서,N,0,8,2023-08-18,3240000,서울특별시 강동구,3,12
유치원,명일유치원,서울특별시 강동구 고덕로38길 8,서울특별시 강동구 암사1동 418-18,37.55454236,127.1425695,서울특별시 강동구청,강동경찰서,N,0,7,2023-08-18,3240000,서울특별시 강동구,3,15
초등학교,성내초등학교,서울특별시 강동구 성내로3길 19,서울특별시 강동구 성내1동 300-3,37.53135786,127.1225001,서울특별시 강동구청,강동경찰서,Y,4,6,2023-08-18,3240000,서울특별시 강동구,15,60
초등학교,천일초등학교,서울특별시 강동구 구천면로 266,서울특별시 강동구 천호1동 217-70,37.54436122,127.1334367,서울특별시 강동구청,강동경찰서,Y,6,8,2023-08-18,3240000,서울특별시 강동구,9,39
초등학교,고현초등학교,서울특별시 강동구 상일로11길 110,서울특별시 강동구 상일동 520-5,37.55380091,127.1660305,서울특별시 강동구청,강동경찰서,Y,4,15,2023-08-18,3240000,서울특별시 강동구,6,27
